Name,Global_Sales,Japan_Sales,North_America_Sales,Europe_Sales,Other_Sales,Year,Platform
Kingdom Hearts,6.4,1.49,3.64,1.2,0.07,2002,PS2
Kingdom Hearts 2,4.33,1.38,2.2,0.58,0.17,2006,PS2
Kingdom Hearts: Birthd by Sleep,2.08,0.75,0.63,0.42,0.27,2010,PSP
Kingdom Hearts 358/2 days,1.99,0.53,1.06,0.26,0.13,2009,DS
Kingdom Hearts: Chain of Memories,1.85,0.35,1.26,0.18,0.06,2004,GBA
Kingdom Hears HD 1.5 ReMix,1.85,0.25,0.92,0.4,0.28,2013,PS3
Kingdom Hearts 3d: Dream Drop Distance,1.6,0.34,0.88,0.27,0.11,2012,3DS
Kingdom Hearts HD 1.5 + 2.5 ReMix,1.32,0.16,0.58,0.39,0.2,2017,PS4
Kingdom Hearts 2.5 ReMix,1.25,0.19,0.52,0.36,0.18,2014,PS3
Kingdom Hearts 2.8 Final Chapter Prologue,1.09,0.2,0.49,0.24,0.15,2017,PS4
Kingdom Hearts Re:coded,0.93,0.27,0.53,0.09,0.05,2011,DS
Kingdom Hearts Re:Chain of Memories,0.87,0,0.73,0.03,0.12,2008,PS2
Kingdom Hearts: FInal Mix ,0.55,0.55,0,0,0,2002,PS2
Kingdom Hearts 2: FInal Mix,0.26,0.26,0,0,0,2007,PS2
Kingdom Hearts: Birth by Sleep - Final Mix,0.16,0.16,0,0,0,2011,PSP